lob,iteration,method,percentage_error
medmal,19,mack_chain_ladder,-0.40501380070647475
medmal,19,bornhuetter_ferguson,-0.001620519797956757
medmal,20,chain_ladder,-0.24226362365416254
medmal,20,mack_chain_ladder,-0.24226362365416254
medmal,20,bornhuetter_ferguson,0.17177142065041212
medmal,21,chain_ladder,-0.4557062692867148
medmal,21,mack_chain_ladder,-0.4557062692867148
medmal,21,bornhuetter_ferguson,-0.023962306092188912
medmal,22,chain_ladder,-0.34804541167849784
medmal,22,mack_chain_ladder,-0.34804541167849784
medmal,22,bornhuetter_ferguson,-0.09263147673632771
medmal,23,chain_ladder,-0.27547532752867226
medmal,23,mack_chain_ladder,-0.27547532752867226
medmal,23,bornhuetter_ferguson,-0.02350615510142489
medmal,24,chain_ladder,-0.09590081639009518
medmal,24,mack_chain_ladder,-0.09590081639009518
medmal,24,bornhuetter_ferguson,-0.024793218536231273
medmal,25,chain_ladder,-0.47739655832609584
medmal,25,mack_chain_ladder,-0.47739655832609584
medmal,25,bornhuetter_ferguson,-0.09315672999707889
medmal,26,chain_ladder,-0.13588451619316952
medmal,26,mack_chain_ladder,-0.13588451619316952
medmal,26,bornhuetter_ferguson,0.06171469367927183
medmal,27,chain_ladder,-0.24971061898358207
medmal,27,mack_chain_ladder,-0.24971061898358207
medmal,27,bornhuetter_ferguson,0.10709436909349332
medmal,28,chain_ladder,-0.2775484178165069
medmal,28,mack_chain_ladder,-0.2775484178165069
medmal,28,bornhuetter_ferguson,0.04897787410768773
medmal,29,chain_ladder,-0.3484361906170061
medmal,29,mack_chain_ladder,-0.3484361906170061
medmal,29,bornhuetter_ferguson,0.2145480288170507
medmal,30,chain_ladder,-0.19703761043938836
medmal,30,mack_chain_ladder,-0.19703761043938836
medmal,30,bornhuetter_ferguson,0.09059531510897531
medmal,31,chain_ladder,-0.11157111710874741
medmal,31,mack_chain_ladder,-0.11157111710874741
medmal,31,bornhuetter_ferguson,0.05648588970248264
medmal,32,chain_ladder,-0.238017763488007
medmal,32,mack_chain_ladder,-0.238017763488007
medmal,32,bornhuetter_ferguson,0.020771288792743044
medmal,33,chain_ladder,-0.26712297898361576
medmal,33,mack_chain_ladder,-0.26712297898361576
medmal,33,bornhuetter_ferguson,0.07272955497776716
medmal,34,chain_ladder,-0.2154246542322053
medmal,34,mack_chain_ladder,-0.2154246542322053
medmal,34,bornhuetter_ferguson,0.07475036101370067
medmal,35,chain_ladder,-0.10778667806509068
medmal,35,mack_chain_ladder,-0.10778667806509068
medmal,35,bornhuetter_ferguson,-0.025929634717063454
