detection_scale,frequency_multiplier,loss_conversion_ratio,remediation_cost,topology,var_995,var_995_ci_low,var_995_ci_high,es_995
0.6,2.0,0.01,1000.0,T4_CRITIC,18308775.312357873,9203148.335689044,18320245.70521,18931087.348401546
0.6,2.0,0.01,1000.0,T5_HUMAN_K0,688837114.4264276,684945397.5605778,741361247.7513874,804940495.7072843
0.6,2.0,0.01,1000.0,T5_HUMAN_K1,299908583.5373435,299902659.09893286,299915312.1554225,310017629.38893324
0.6,2.0,0.01,1000.0,T5_HUMAN_K2,62632.62663147782,60085.02112860081,64763.903726086646,66473.06746784464
0.6,2.0,0.01,1000.0,T5_HUMAN_K3,70811.93798090256,67175.60757921354,73996.2186182022,76290.02599840389
0.6,2.0,0.01,5000.0,T1_LINEAR,685008924.6461201,684967889.4093101,686628251.9907187,755338713.1967992
0.6,2.0,0.01,5000.0,T2_VALIDATOR,159992.53016707266,155380.3535512733,164999.56599874608,172399.87597497963
0.6,2.0,0.01,5000.0,T3_SUPERVISOR,160319.6653938851,153746.13240628492,163402.4986927773,167764.50669834236
0.6,2.0,0.01,5000.0,T4_CRITIC,18385498.770890284,9314545.441612061,18405407.733979978,19020513.25783234
0.6,2.0,0.01,5000.0,T5_HUMAN_K0,688889154.4264276,685043546.0107466,698202399.4335029,805021295.7072843
0.6,2.0,0.01,5000.0,T5_HUMAN_K1,299991088.45755696,299979313.08002687,300008587.5824419,310110438.2380226
0.6,2.0,0.01,5000.0,T5_HUMAN_K2,178025.3541352458,170941.02065486324,183675.86390615598,187776.14691317026
0.6,2.0,0.01,5000.0,T5_HUMAN_K3,184612.15611102976,172078.6274831305,191490.02353350134,194999.13204397602
0.6,2.0,0.01,10000.0,T1_LINEAR,685098949.6461201,642785261.5718535,686745509.8220748,755443046.5301325
0.6,2.0,0.01,10000.0,T2_VALIDATOR,308509.07252361375,298276.8418266108,317719.90954109957,328260.602133753
0.6,2.0,0.01,10000.0,T3_SUPERVISOR,307013.56149644294,298834.3604454439,317844.26289392525,323095.7148682907
0.6,2.0,0.01,10000.0,T4_CRITIC,18483641.781568248,9479984.791127931,18509844.706309654,19132970.52883081
0.6,2.0,0.01,10000.0,T5_HUMAN_K0,688954204.4264276,685146859.686973,741532247.7513874,805122295.7072843
0.6,2.0,0.01,10000.0,T5_HUMAN_K1,300095967.43763155,300073278.96849954,300123607.3443578,310228744.3611179
0.6,2.0,0.01,10000.0,T5_HUMAN_K2,323069.29664868984,313739.3094365244,343045.34408132464,348489.4871111887
0.6,2.0,0.01,10000.0,T5_HUMAN_K3,341317.4102615763,315819.7721983009,345949.55020501796,356109.8814042512
0.6,2.0,0.05,1000.0,T1_LINEAR,3424595698.042826,3212026355.0633154,3432661777.241751,3776193897.646472
0.6,2.0,0.05,1000.0,T2_VALIDATOR,128423.90098925482,122633.6332662906,132273.90543407973,137764.57659941216
0.6,2.0,0.05,1000.0,T3_SUPERVISOR,126088.91078372284,121661.22702044321,131800.87109534896,135264.05516933676
0.6,2.0,0.05,1000.0,T4_CRITIC,91479781.68226846,45915738.60969381,91520209.38512439,94566370.07534109
0.6,2.0,0.05,1000.0,T5_HUMAN_K0,3444133480.3132772,3424643981.4266324,3706691900.29634,4024621678.536422
0.6,2.0,0.05,1000.0,T5_HUMAN_K1,1499450718.9824388,1499425534.9819343,1499500249.3559387,1550000779.09457
0.6,2.0,0.05,1000.0,T5_HUMAN_K2,210538.86654245172,202912.9768391174,220183.6096747111,228372.71899445215
0.6,2.0,0.05,1000.0,T5_HUMAN_K3,253630.7994891941,243142.40471276548,266117.8976771859,280838.57598467567
0.6,2.0,0.05,5000.0,T1_LINEAR,3424671678.042826,3212938533.743934,3432798723.8985314,3776277097.646472
0.6,2.0,0.05,5000.0,T2_VALIDATOR,236133.67638187754,224673.89333796775,241535.3813087378,248144.18606407722
0.6,2.0,0.05,5000.0,T3_SUPERVISOR,226089.0386345096,221394.32179032438,232918.2787097413,237399.4192009951
0.6,2.0,0.05,5000.0,T4_CRITIC,91543876.56178935,46018466.388729945,91590972.0860501,94655436.74200776
0.6,2.0,0.05,5000.0,T5_HUMAN_K0,3444185572.132138,3424744204.5214014,3706635845.598728,4024702478.536422
0.6,2.0,0.05,5000.0,T5_HUMAN_K1,1499542917.6867175,1499513300.2603688,1499576558.9650023,1550088146.9446664
0.6,2.0,0.05,5000.0,T5_HUMAN_K2,313163.1331573892,297969.48360203963,325509.49471418513,332365.3373392232
0.6,2.0,0.05,5000.0,T5_HUMAN_K3,354059.6899045128,334754.2861772071,369981.093091011,381450.1299920195
0.6,2.0,0.05,10000.0,T1_LINEAR,3424766653.042826,3424644395.8801546,3432832732.241751,3776381097.646472
0.6,2.0,0.05,10000.0,T2_VALIDATOR,371535.16562120727,361454.2103211855,382573.248603827,396410.9498887862
0.6,2.0,0.05,10000.0,T3_SUPERVISOR,358507.4541945771,352872.85496393335,365734.60686564975,380319.23249610845
0.6,2.0,0.05,10000.0,T4_CRITIC,91634767.70995928,46163683.29493732,91705206.64132948,94766770.07534109
0.6,2.0,0.05,10000.0,T5_HUMAN_K0,3444250622.132138,3424854221.9145684,3706915300.3657203,4024803478.536422
0.6,2.0,0.05,10000.0,T5_HUMAN_K1,1499655447.2475622,1499613618.1088505,1499684470.1687458,1550201620.390862
0.6,2.0,0.05,10000.0,T5_HUMAN_K2,453625.3775300622,433445.4406404409,462633.5171772579,474682.31060971104
0.6,2.0,0.05,10000.0,T5_HUMAN_K3,489778.0995545726,460345.8634110482,504491.5565469844,515555.4862954564
0.6,2.0,0.1,1000.0,T1_LINEAR,6849172401.085652,6425679415.276521,6888063074.115772,7552366995.292944
0.6,2.0,0.1,1000.0,T2_VALIDATOR,231164.66516184792,222861.3080257337,244547.00010140607,250463.31956897158
0.6,2.0,0.1,1000.0,T3_SUPERVISOR,229470.75787294365,221651.1822361969,243044.91574523863,247766.6630755415
0.6,2.0,0.1,1000.0,T4_CRITIC,182935396.94233346,91794069.93999195,183013457.0521,189111019.23346
0.6,2.0,0.1,1000.0,T5_HUMAN_K0,6888253930.6265545,6849259731.718584,7413100691.197456,8049223157.072844
0.6,2.0,0.1,1000.0,T5_HUMAN_K1,2998878778.5264177,2998846593.643639,2998980134.0193524,3099979935.9291034
0.6,2.0,0.1,1000.0,T5_HUMAN_K2,399403.7525886322,381949.31255295506,414246.0758291556,431640.49298548966
0.6,2.0,0.1,1000.0,T5_HUMAN_K3,483293.69837271865,469958.5332388034,504161.7653745041,538902.5325041797
0.6,2.0,0.1,5000.0,T1_LINEAR,6849248381.085652,5619174950.196661,6865266195.088363,7552450195.292944
0.6,2.0,0.1,5000.0,T2_VALIDATOR,335252.9155678899,317353.234629527,346896.1944425217,356006.2800479837
0.6,2.0,0.1,5000.0,T3_SUPERVISOR,327177.5930583429,315144.80670797895,335834.1653790843,343343.28503411013
0.6,2.0,0.1,5000.0,T4_CRITIC,183007678.1235787,91906909.36559956,183076922.24514318,189199540.15068218
0.6,2.0,0.1,5000.0,T5_HUMAN_K0,6888306050.6265545,6849359097.363277,7481333954.479577,8049303957.072844
0.6,2.0,0.1,5000.0,T5_HUMAN_K1,2998964467.9648776,2998926851.41981,2999056218.9389057,3100066758.18914
0.6,2.0,0.1,5000.0,T5_HUMAN_K2,498372.6832483967,472546.86043262115,508788.1703579331,533317.40675329
0.6,2.0,0.1,5000.0,T5_HUMAN_K3,583114.645526407,548311.4692803252,603446.3458484918,634873.1860729812
0.6,2.0,0.1,10000.0,T1_LINEAR,6849343356.085652,6425877436.864478,6888382407.423593,7552554195.292944
0.6,2.0,0.1,10000.0,T2_VALIDATOR,472267.3527637551,454241.3051248861,484124.62118837994,496288.37212815444
0.6,2.0,0.1,10000.0,T3_SUPERVISOR,452178.0772690192,442450.85396405886,464474.7727261386,474798.8384019902
0.6,2.0,0.1,10000.0,T4_CRITIC,183087753.1235787,92032811.33063626,183208418.77024877,189310873.48401552
0.6,2.0,0.1,10000.0,T5_HUMAN_K0,6888371144.264276,6849488426.540839,7413612477.513874,8049404957.072844
0.6,2.0,0.1,10000.0,T5_HUMAN_K1,2999085835.373435,2999022696.555849,2999154053.2127533,3100176293.889333
0.6,2.0,0.1,10000.0,T5_HUMAN_K2,626326.2663147784,596680.307025047,647655.5386598466,664730.6746784464
0.6,2.0,0.1,10000.0,T5_HUMAN_K3,708119.3798090256,675231.3334898896,740818.00863125,762900.259984039
0.8,0.5,0.01,1000.0,T1_LINEAR,350864505.2847682,344053126.1722526,351604988.1706699,407976001.7376128
0.8,0.5,0.01,1000.0,T2_VALIDATOR,16529.08524362941,15528.133188055432,17528.13318805543,18130.943810533252
0.8,0.5,0.01,1000.0,T3_SUPERVISOR,17477.23795684504,16485.119657884406,19562.52119496906,19406.121750748523
0.8,0.5,0.01,1000.0,T4_CRITIC,23118.422656136878,21890.652799722087,24432.449855155122,25042.1901486739
0.8,0.5,0.01,1000.0,T5_HUMAN_K0,397251541.70186085,351593288.7949474,492398745.4478885,523194089.2168027
0.8,0.5,0.01,1000.0,T5_HUMAN_K1,149949439.37525117,149947175.0161811,149952212.2682837,160254011.5804703
0.8,0.5,0.01,1000.0,T5_HUMAN_K2,23393.121565230023,21600.24111513827,24960.223654192763,26233.77853558288
0.8,0.5,0.01,1000.0,T5_HUMAN_K3,20745.764282994103,19576.11307926755,21701.08900048492,22823.291189938005
0.8,0.5,0.01,5000.0,T1_LINEAR,350880525.2847682,344074873.7304245,351859555.93849766,408000801.7376128
0.8,0.5,0.01,5000.0,T2_VALIDATOR,62426.865674518995,57765.77233678014,65002.64066594034,66456.53808246805
0.8,0.5,0.01,5000.0,T3_SUPERVISOR,58738.61897842252,56490.080249379316,62477.23795684504,65554.27994845972
