lob,grcode,fault,detected,duplicate_check,nonnegative_check,development_check,completeness_check,extreme_increment_check
medmal,10697,duplicate_key,True,True,False,False,False,False
medmal,10697,negative_paid,True,False,True,False,False,False
medmal,10697,development_mismatch,True,False,False,True,False,False
medmal,10697,missing_cell,True,False,False,False,True,False
medmal,10697,unit_x1000,False,False,False,False,False,False
medmal,36277,duplicate_key,True,True,False,False,False,False
medmal,36277,negative_paid,True,False,True,False,False,False
medmal,36277,development_mismatch,True,False,False,True,False,False
medmal,36277,missing_cell,True,False,False,False,True,False
medmal,36277,unit_x1000,False,False,False,False,False,False
medmal,43656,duplicate_key,True,True,False,False,False,False
medmal,43656,negative_paid,True,False,True,False,False,False
medmal,43656,development_mismatch,True,False,False,True,False,False
medmal,43656,missing_cell,True,False,False,False,True,False
medmal,43656,unit_x1000,False,False,False,False,False,False
medmal,36234,duplicate_key,True,True,True,False,False,False
medmal,36234,negative_paid,True,False,True,False,False,False
medmal,36234,development_mismatch,True,False,True,True,False,False
medmal,36234,missing_cell,True,False,True,False,True,False
medmal,36234,unit_x1000,True,False,True,False,False,False
medmal,40975,duplicate_key,True,True,False,False,False,False
medmal,40975,negative_paid,True,False,True,False,False,False
medmal,40975,development_mismatch,True,False,False,True,False,False
medmal,40975,missing_cell,True,False,False,False,True,False
medmal,40975,unit_x1000,False,False,False,False,False,False
medmal,31429,duplicate_key,True,True,False,False,False,False
medmal,31429,negative_paid,True,False,True,False,False,False
medmal,31429,development_mismatch,True,False,False,True,False,False
medmal,31429,missing_cell,True,False,False,False,True,False
medmal,31429,unit_x1000,False,False,False,False,False,False
medmal,32514,duplicate_key,True,True,False,False,False,False
medmal,32514,negative_paid,True,False,True,False,False,False
medmal,32514,development_mismatch,True,False,False,True,False,False
medmal,32514,missing_cell,True,False,False,False,True,False
medmal,32514,unit_x1000,False,False,False,False,False,False
medmal,44504,duplicate_key,True,True,False,False,False,False
medmal,44504,negative_paid,True,False,True,False,False,False
medmal,44504,development_mismatch,True,False,False,True,False,False
medmal,44504,missing_cell,True,False,False,False,True,False
medmal,44504,unit_x1000,False,False,False,False,False,False
medmal,10341,duplicate_key,True,True,False,False,False,False
medmal,10341,negative_paid,True,False,True,False,False,False
