source_kind,local_path,source_url,revision,sha256,bytes,file_count,license_files,declared_license,status,note
http,data/_scripts/aat_data_remote/cas_schedule_p/wkcomp_pos.csv,https://www.casact.org/sites/default/files/2021-04/wkcomp_pos.csv,,4c2e23e3dd0edb2a1f3b3434252fa7f19c7bf62c862575c9b0bb87c3ff8606f2,926241,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/governance/IMDA_agentic_AI_factsheet.pdf,https://www.imda.gov.sg/-/media/imda/files/news-and-events/media-room/media-releases/2026/01/factsheet-model-ai-governance-framework-for-agentic-ai.pdf,,f3d26d1eb69be4159ed947b8339a7524e94314be6d54c0f5e5a7690b15919714,156508,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/governance/IMDA_Model_AI_Governance_Framework_Agentic_AI_v1.pdf,,,2636e19ff1c86e862394d2fc900592e97b83c04cc35e3c8443108114b7f1dfba,2169295,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/governance/IMDA_Model_AI_Governance_Framework_Agentic_AI_v1_5.pdf,https://www.imda.gov.sg/-/media/imda/files/about/emerging-tech-and-research/artificial-intelligence/mgf-for-agentic-ai.pdf,,2636e19ff1c86e862394d2fc900592e97b83c04cc35e3c8443108114b7f1dfba,2169295,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/governance/NIST_AI_RMF_100-1.pdf,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf,,7576edb531d9848825814ee88e28b1795d3a84b435b4b797d3670eafdc4a89f1,1946127,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/governance/NIST_GenAI_profile_600-1.pdf,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,6e73620ab6b64e90ef2c04bf0e0d6246185a2f4b1b13cab0df494496cff89b6a,1174643,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/huggingface_open/AgentHarm_benign_test_public.json,https://huggingface.co/datasets/ai-safety-institute/AgentHarm/resolve/main/benchmark/benign_behaviors_test_public.json,,65b4ebd4d8d2e7c9a79db4e11bc642f1800e642be0626ba0a990c763a325957a,138721,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/huggingface_open/AgentHarm_harmful_test_public.json,https://huggingface.co/datasets/ai-safety-institute/AgentHarm/resolve/main/benchmark/harmful_behaviors_test_public.json,,fc3e4abbcd812022b85150b0e6f81c0bdbdfabb486e5b82ec46f1ba135f3ba08,134140,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/huggingface_open/butterflylabs_ai-incidents.csv,https://huggingface.co/datasets/butterflylabs/ai-incidents/resolve/main/incidents.csv,,ed2db9cda08d8235fd6a804030317d4e2c8069f3ee805a9452b9e26d28e62a71,10770704,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/huggingface_open/deepset_prompt-injections_test.parquet,https://huggingface.co/datasets/deepset/prompt-injections/resolve/refs%2Fconvert%2Fparquet/default/test/0000.parquet,,39ac797cabc157eeed58435a08593b2952bb6cb16fc394a2d383f447cc7b246e,10892,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/huggingface_open/deepset_prompt-injections_train.parquet,https://huggingface.co/datasets/deepset/prompt-injections/resolve/refs%2Fconvert%2Fparquet/default/train/0000.parquet,,2e10bc7ab30f542c97e4e83e2a5683000b5057d25ec10908784c631d44124c04,40323,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/huggingface_open/jailbreak-classification_test.parquet,https://huggingface.co/datasets/jackhhao/jailbreak-classification/resolve/refs%2Fconvert%2Fparquet/default/test/0000.parquet,,ac6e2f913e748558ac3c17be182a7f86c6076ce665cf034bc59491ecbb224c7e,210777,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
