stage,fault_type,topology,state_before,state_after,posterior_mean,ci_05,ci_95,cell_n
S4_MODEL,F5_HANDOFF,T2_VALIDATOR,C,C,0.8538140053160137,0.6881137623115893,0.9627826552559146,8.0
S4_MODEL,F5_HANDOFF,T2_VALIDATOR,C,E,0.08214107897488676,0.009181620902134162,0.21105474218362436,8.0
S4_MODEL,F5_HANDOFF,T2_VALIDATOR,C,R,0.04911131448697566,0.0014619191494022797,0.1527363459213213,8.0
S4_MODEL,F5_HANDOFF,T2_VALIDATOR,C,H,0.014933601222123866,2.8626472809094595e-07,0.0734005491199513,8.0
S4_MODEL,F5_HANDOFF,T3_SUPERVISOR,C,C,0.8513939660781172,0.6855422856217128,0.9615832905317685,8.0
S4_MODEL,F5_HANDOFF,T3_SUPERVISOR,C,E,0.08322852275061549,0.009441590436678644,0.21146960399603984,8.0
S4_MODEL,F5_HANDOFF,T3_SUPERVISOR,C,R,0.049417610950912814,0.0015431737354094739,0.15646727947867997,8.0
S4_MODEL,F5_HANDOFF,T3_SUPERVISOR,C,H,0.015959900220354494,5.243484117832347e-07,0.0765283761446932,8.0
S4_MODEL,F5_HANDOFF,T4_CRITIC,C,C,0.8532752590652102,0.6898807167073541,0.9639181231874066,8.0
S4_MODEL,F5_HANDOFF,T4_CRITIC,C,E,0.0815702747732374,0.008772034165586702,0.2096782991007783,8.0
S4_MODEL,F5_HANDOFF,T4_CRITIC,C,R,0.05031399355216605,0.00160923702820778,0.15590036221450906,8.0
S4_MODEL,F5_HANDOFF,T4_CRITIC,C,H,0.014840472609386318,3.5092565667222604e-07,0.07311871918464641,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K0,C,C,0.8532628528065953,0.6930934650965765,0.9640499790881135,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K0,C,E,0.08030966675222277,0.00802499993933882,0.20914214236650214,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K0,C,R,0.050544804385574967,0.001442222230811237,0.16335378489566663,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K0,C,H,0.015882676055606965,5.023726884663997e-07,0.07505928418853858,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K1,C,C,0.8511488899738899,0.6837927593112835,0.9653122238579456,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K1,C,E,0.08240913925956815,0.008539413755942258,0.21547237514020257,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K1,C,R,0.051381536280443965,0.0015670063503800912,0.16277906994600477,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K1,C,H,0.015060434486097871,2.545070509924633e-07,0.07205416336268416,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K2,C,C,0.8509364626723355,0.6898723390170604,0.9653386137179045,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K2,C,E,0.08334917162595958,0.00878814657850472,0.21472572339165455,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K2,C,R,0.05080171227076995,0.0013888833015928052,0.15924652572046827,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K2,C,H,0.014912653430935112,2.8979510228630903e-07,0.07018938710074794,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K3,C,C,0.8531851654326261,0.6944713070093316,0.9666243359521194,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K3,C,E,0.08245361614717465,0.008554331443693608,0.21134811001230966,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K3,C,R,0.048124148357093305,0.0014029015709618848,0.14648776113719267,8.0
S4_MODEL,F5_HANDOFF,T5_HUMAN_K3,C,H,0.016237070063105867,2.2239838134574086e-07,0.08125291540135242,8.0
S4_MODEL,F6_CONTEXT,T1_LINEAR,E,C,0.010210902593472489,1.415113760826322e-07,0.047803315100002346,15.999999999999998
S4_MODEL,F6_CONTEXT,T1_LINEAR,E,E,0.9107789718664637,0.8029828324705499,0.9803990297242251,15.999999999999998
