replication,topology,parameter,truth,estimate,ci_05,ci_95,ci_025,ci_975,covered_90,covered_95
10,T2_VALIDATOR,E_to_E,0.2,0.2684804345310687,0.18227367817420964,0.36522901250026774,0.1653568819490053,0.38754594973371964,True,True
11,T1_LINEAR,E_to_E,0.93,0.9051446256678383,0.8375515622934723,0.9590063278125535,0.8221377282843235,0.9655365308630688,True,True
11,T2_VALIDATOR,E_to_E,0.2,0.26765157649138677,0.18202329262106343,0.3654084180057111,0.16893848651718793,0.38688600365777037,True,True
12,T1_LINEAR,E_to_E,0.93,0.9383101256217327,0.8824811482124191,0.9794495550791463,0.8705899038525187,0.9839592364537474,True,True
12,T2_VALIDATOR,E_to_E,0.2,0.20127019853411626,0.12206762471627562,0.2904183585757111,0.1111931555815473,0.3106640837864506,True,True
13,T1_LINEAR,E_to_E,0.93,0.9383232550789139,0.879304643018883,0.9797458271417968,0.8676770800038311,0.9842884217556968,True,True
13,T2_VALIDATOR,E_to_E,0.2,0.21742804830331633,0.13667005689848458,0.3083137630624383,0.12448681064436094,0.3280120402809816,True,True
14,T1_LINEAR,E_to_E,0.93,0.9238442509909538,0.8600488226268823,0.9698371352170817,0.846678784313009,0.9742350011517291,True,True
14,T2_VALIDATOR,E_to_E,0.2,0.1671844464716396,0.09544562810792964,0.25007373560199053,0.08541198462241929,0.26722167489858484,True,True
15,T1_LINEAR,E_to_E,0.93,0.9217082757449417,0.8606654488865333,0.9701854869854089,0.8451173261421848,0.975060396233494,True,True
15,T2_VALIDATOR,E_to_E,0.2,0.20267656064418607,0.12278401095465885,0.2933321205047086,0.11103171488597809,0.30984101513826745,True,True
16,T1_LINEAR,E_to_E,0.93,0.9549775342214253,0.9068792777535393,0.987568005276966,0.8946061176091508,0.9912271864769422,True,True
16,T2_VALIDATOR,E_to_E,0.2,0.170317185182312,0.1004901394688871,0.2527954966642037,0.08817578350121709,0.27607094375816893,True,True
17,T1_LINEAR,E_to_E,0.93,0.9385393048358535,0.8801518773113839,0.9798822957554979,0.86731510392417,0.9841796510816392,True,True
17,T2_VALIDATOR,E_to_E,0.2,0.18412275338692377,0.1069814995810694,0.2711234478956967,0.09704074770346889,0.2890430692236669,True,True
18,T1_LINEAR,E_to_E,0.93,0.9218816894675239,0.8621782272643529,0.9698755881358888,0.8446786842593204,0.9746858150838865,True,True
18,T2_VALIDATOR,E_to_E,0.2,0.2335944254142545,0.1472335563127331,0.3257440013039882,0.13558888704068453,0.33964805709625084,True,True
19,T1_LINEAR,E_to_E,0.93,0.9055902062355419,0.8367027842493725,0.9581573559544946,0.8201606926199426,0.964026015329914,True,True
19,T2_VALIDATOR,E_to_E,0.2,0.25176656383680746,0.16637574810395894,0.34770283672699187,0.15384503234019095,0.36646136416420266,True,True
20,T1_LINEAR,E_to_E,0.93,0.938011223938035,0.8785628463963486,0.9797931587550943,0.8621569359654973,0.9841914895781644,True,True
20,T2_VALIDATOR,E_to_E,0.2,0.20081884465085362,0.12164587527513725,0.29415353235698055,0.11285683859787712,0.31188323871906104,True,True
21,T1_LINEAR,E_to_E,0.93,0.8726052741050039,0.7933900560862054,0.9357819556315135,0.7748466270265654,0.944890224017848,True,True
21,T2_VALIDATOR,E_to_E,0.2,0.18496442876808541,0.1097661079013008,0.2694046061384416,0.09938764181754765,0.28450544607143663,True,True
22,T1_LINEAR,E_to_E,0.93,0.922094160658319,0.8596097062246048,0.9691907458917342,0.8470203518141881,0.9748152437468928,True,True
22,T2_VALIDATOR,E_to_E,0.2,0.20088907841674336,0.12083426918603499,0.2921310336275949,0.10988170191148013,0.3153843362869782,True,True
23,T1_LINEAR,E_to_E,0.93,0.9371387150531282,0.8797958985040157,0.9788205349564716,0.8665505716412413,0.9835083744160736,True,True
23,T2_VALIDATOR,E_to_E,0.2,0.1837328725487824,0.10900823059422207,0.26951343521108195,0.09825088085717369,0.2866900073893401,True,True
24,T1_LINEAR,E_to_E,0.93,0.9223912512070185,0.8616074520257033,0.969284419594431,0.8467833158362343,0.9736298554350715,True,True
24,T2_VALIDATOR,E_to_E,0.2,0.18451719995148938,0.11114177951305239,0.2730420109590906,0.0975310836082542,0.2918114681227336,True,True
25,T1_LINEAR,E_to_E,0.93,0.9049192309364998,0.8364721904977599,0.9564419271884185,0.8199902462739193,0.9627134657306424,True,True
25,T2_VALIDATOR,E_to_E,0.2,0.3158037674069457,0.22310478277831772,0.4166401866425135,0.2078811282806666,0.4359515277870553,False,False
26,T1_LINEAR,E_to_E,0.93,0.9224788918748748,0.8611006823630002,0.9689804716998923,0.8453439416311053,0.9755731669464388,True,True
26,T2_VALIDATOR,E_to_E,0.2,0.25245660501054457,0.1663838650823848,0.3443617851638621,0.15268425746113906,0.36243855390570073,True,True
27,T1_LINEAR,E_to_E,0.93,0.9048245911047116,0.837358617214347,0.9587854259578712,0.821654260565642,0.9650807083195357,True,True
27,T2_VALIDATOR,E_to_E,0.2,0.13591580845939086,0.07229621517069607,0.2140536980494484,0.06175724114742106,0.23187553701691446,True,True
28,T1_LINEAR,E_to_E,0.93,0.8731659139046173,0.7991420357676906,0.9349000130696058,0.7785621875816036,0.9431710526495022,True,True
28,T2_VALIDATOR,E_to_E,0.2,0.20127458108521318,0.12604771727577477,0.289589423212574,0.11600500125523082,0.3100184174783788,True,True
29,T1_LINEAR,E_to_E,0.93,0.9389870369920527,0.8821650259616491,0.9799319727314935,0.8664413241742244,0.9837941729081341,True,True
29,T2_VALIDATOR,E_to_E,0.2,0.21808297704526258,0.1408710542930732,0.3042065939709999,0.1289088266090353,0.32262058487546086,True,True
30,T1_LINEAR,E_to_E,0.93,0.9220840424157088,0.8621664943172179,0.9687759278299717,0.8472713287818113,0.9749088227108483,True,True
30,T2_VALIDATOR,E_to_E,0.2,0.2026672557766304,0.1269262573207846,0.2888997144188704,0.11376769361921081,0.30865572472329206,True,True
31,T1_LINEAR,E_to_E,0.93,0.9055130192695006,0.8378732668169943,0.9583840371798353,0.8221472767038253,0.9636571858348818,True,True
31,T2_VALIDATOR,E_to_E,0.2,0.21772139732636114,0.1380944412715882,0.3101188889553925,0.12435737454576706,0.3281472088221803,True,True
32,T1_LINEAR,E_to_E,0.93,0.9557225956459849,0.904859841024296,0.9889528082962529,0.8920519274488421,0.9914860043456188,True,True
32,T2_VALIDATOR,E_to_E,0.2,0.1509039041385449,0.0847546208042593,0.2300475841140966,0.0763955198703946,0.25028821893526565,True,True
33,T1_LINEAR,E_to_E,0.93,0.9234317238290352,0.860884758412274,0.9703561745567844,0.8467689240162488,0.9759865369382812,True,True
33,T2_VALIDATOR,E_to_E,0.2,0.21813365272065652,0.13640054959732859,0.30892609934610565,0.12444453732084178,0.32843441465784207,True,True
34,T1_LINEAR,E_to_E,0.93,0.8725490361379357,0.7974524972866935,0.9366380017091759,0.7794675596780992,0.9446247443148322,True,True
34,T2_VALIDATOR,E_to_E,0.2,0.13691586681620183,0.07341639732373452,0.2132751167333015,0.06563645734747597,0.23420161627154215,True,True
35,T1_LINEAR,E_to_E,0.93,0.873997057189157,0.7981700440334721,0.9372118167768237,0.780985377859153,0.9459719330081391,True,True
35,T2_VALIDATOR,E_to_E,0.2,0.20214839605132465,0.12424833563383958,0.2865063291129593,0.11378492822487295,0.30145290793154755,True,True
36,T1_LINEAR,E_to_E,0.93,0.9375573794569152,0.8788626265971561,0.9796124843196138,0.8657706753419723,0.9841068789031211,True,True
36,T2_VALIDATOR,E_to_E,0.2,0.20063428658002558,0.12283038110904637,0.290073845237648,0.11178103911557034,0.3091465706388129,True,True
37,T1_LINEAR,E_to_E,0.93,0.9556734915074515,0.9043609581503281,0.9882844256330846,0.8942465996639448,0.9914507904594674,True,True
37,T2_VALIDATOR,E_to_E,0.2,0.23430734533216765,0.15096476035843512,0.3221653967505925,0.1374695845769005,0.34296802199592796,True,True
38,T1_LINEAR,E_to_E,0.93,0.9066550322152034,0.8381603040096117,0.9588628579122785,0.823130132965644,0.9644988217481079,True,True
38,T2_VALIDATOR,E_to_E,0.2,0.16806057107209757,0.09487931494556644,0.25328701528638664,0.08442864560074215,0.2689246374950048,True,True
39,T1_LINEAR,E_to_E,0.93,0.9558883645053206,0.9047344090789115,0.9892213329887337,0.8941386389173481,0.9919041642012961,True,True
39,T2_VALIDATOR,E_to_E,0.2,0.16764622095968162,0.09656483353114681,0.25158546088903255,0.086659911815024,0.2681608731078512,True,True
40,T1_LINEAR,E_to_E,0.93,0.9213545551704065,0.8556080906105086,0.9693915117265246,0.8390464979045439,0.9751488558479026,True,True
40,T2_VALIDATOR,E_to_E,0.2,0.24967770008766121,0.16178928381585395,0.3494817511557631,0.15059141215734761,0.3693684675857609,True,True
41,T1_LINEAR,E_to_E,0.93,0.9057980566313727,0.8360891260463489,0.957508481377494,0.8194318715496536,0.9624958051762584,True,True
41,T2_VALIDATOR,E_to_E,0.2,0.20238673986376057,0.12512168933030768,0.29210173064506184,0.11059801856658373,0.3066619612206046,True,True
42,T1_LINEAR,E_to_E,0.93,0.9544761351374653,0.9040722181531696,0.9873875261453118,0.8883643792699992,0.9909535526780647,True,True
42,T2_VALIDATOR,E_to_E,0.2,0.20078563393368132,0.12200392650947196,0.2863052394392238,0.10999665051918844,0.30937623221696375,True,True
43,T1_LINEAR,E_to_E,0.93,0.8386338438130208,0.7531445533506506,0.907480289452986,0.7335837519104937,0.9199839664266345,False,False
43,T2_VALIDATOR,E_to_E,0.2,0.23345692123286405,0.14787915028173024,0.323817337919304,0.13521707879539357,0.34512885095678386,True,True
44,T1_LINEAR,E_to_E,0.93,0.8878912308293833,0.8176901674972679,0.9452303756033629,0.8018789653988467,0.9539920265265913,True,True
44,T2_VALIDATOR,E_to_E,0.2,0.16797259256720873,0.09682766480390195,0.25144420628379355,0.08666455264404725,0.2671645631619603,True,True
45,T1_LINEAR,E_to_E,0.93,0.920761913501311,0.859155928495434,0.9687822975204505,0.8456779040588379,0.9729876887105529,True,True
45,T2_VALIDATOR,E_to_E,0.2,0.15366220219598872,0.0865342776551401,0.2350438553793475,0.076834968791803,0.25693118764979145,True,True
46,T1_LINEAR,E_to_E,0.93,0.9214514880232065,0.8601139287562112,0.9680421832545754,0.8400047337147252,0.9730985052497951,True,True
46,T2_VALIDATOR,E_to_E,0.2,0.21955313413226332,0.14020761374321977,0.3130473415284425,0.12462330015057259,0.3332915117532535,True,True
47,T1_LINEAR,E_to_E,0.93,0.9390890110406003,0.8826750276198241,0.9799313395710513,0.8701684139298707,0.9843602119859555,True,True
47,T2_VALIDATOR,E_to_E,0.2,0.24900739166067448,0.16186714128761379,0.34113954003497826,0.14811562371181755,0.36086714134668896,True,True
48,T1_LINEAR,E_to_E,0.93,0.8725590139254406,0.7978276119963843,0.9322441445502634,0.7746578542331365,0.9411045213604109,True,True
48,T2_VALIDATOR,E_to_E,0.2,0.30027700854529665,0.20781685083105747,0.40063983903467487,0.1948135239114381,0.42139830342731244,False,True
49,T1_LINEAR,E_to_E,0.93,0.9560700060663523,0.9083159923601243,0.9883680065573761,0.8969482391493323,0.991498164618502,True,True
49,T2_VALIDATOR,E_to_E,0.2,0.25174950366216803,0.16719751288824933,0.34919939054288784,0.1542982360198208,0.3721002174218154,True,True
